"Financial Year","Company Code","Document ID"
"21-22","GJI","SPA020"
"21-22","GJI","SPA019"
"21-22","GJI","SPA018"
"21-22","GJI","SPA017"
"21-22","GJI","SPA016"
"21-22","GJI","SPA015"
"21-22","GJI","SPA014"
"21-22","GJI","SPA013"
"21-22","GJI","SPA012"
"21-22","GJI","SPA011"
"21-22","GJI","SPA010"
"21-22","GJI","SPA009"
"21-22","GJI","SPA008"
"21-22","GJI","SPA007"
"21-22","GJI","SPA006"
"21-22","GJI","SPA005"
"21-22","GJI","NH-00000044"
"21-22","GJI","NH-00000043"
"21-22","GJI","NH-00000042"
"21-22","GJI","NH-00000041"
"21-22","GJI","NH-00000032"
"21-22","GJI","NH-00000023"
"21-22","GJI","NH-00000022"
"21-22","GJI","BETI116"
"21-22","GJI","BETI115"
"21-22","GJI","BETI114"
"21-22","GJI","BETI95"
"21-22","GJI","BETI94"
"21-22","GJI","BETI93"
"21-22","GJI","BETI92"
"21-22","GJI","BETI91"
"21-22","GJI","SP-0054"
"21-22","GJI","SP-0053"
"21-22","GJI","SP-00000344"
"21-22","GJI","SP-0052"
"21-22","GJI","SP-00000343"
"21-22","GJI","SP-0051"
"21-22","GJI","BETI90"
"21-22","GJI","BETI89"
"21-22","GJI","BETI88"
"21-22","GJI","BETI87"
"21-22","GJI","BETI86"
"21-22","GJI","BETI85"
"21-22","GJI","BETI84"
"21-22","GJI","BETI82"
"21-22","GJI","BETI81"
"21-22","GJI","BETI80"
"21-22","GJI","BETI79"
"21-22","GJI","BETI77"
"21-22","GJI","BETI77"
"21-22","GJI","BETI76"
"21-22","GJI","BETI75"
"21-22","GJI","BETI73"
"21-22","GJI","BETI73"
"21-22","GJI","BETI72"
"21-22","GJI","BETI71"
"21-22","GJI","BETI70"
"21-22","GJI","BETI69"
"21-22","GJI","BETI66"
"21-22","GJI","BETI65"
"21-22","GJI","BETI64"
"21-22","GJI","BETI63"
"21-22","GJI","BETI62"
"21-22","GJI","BETI61"
"21-22","GJI","BETI60"
"21-22","GJI","BETI59"
"21-22","GJI","BETI58"
"21-22","GJI","BETI57"
"21-22","GJI","BETI56"
"21-22","GJI","BETI55"
"21-22","GJI","BETI54"
"21-22","GJI","BETI53"
"21-22","GJI","BETI52"
"21-22","GJI","BETI51"
"21-22","GJI","BETI50"
"21-22","GJI","BETI49"
"21-22","GJI","BETI48"
"21-22","GJI","BETI47"
"21-22","GJI","BETI46"
"21-22","GJI","BETI43"
"21-22","GJI","BETI42"
"21-22","GJI","BETI41"
"21-22","GJI","BETI40"
"21-22","GJI","BETI39"
"21-22","GJI","BETI38"
"21-22","GJI","BETI32"
"21-22","GJI","BETI31"
"21-22","GJI","BD29"
"21-22","GJI","BD19"
"21-22","GJI","NH-00000022"
"21-22","GJI","BD18"
"21-22","GJI","BD17"
"21-22","GJI","BD16"
"21-22","GJI","NH-00000077"
"21-22","GJI","NH-00000060"
"21-22","GJI","NH-00000011"